"GENE_ACCESSION_ID","GENE_SYMBOL","MOUSE_STRAIN","MOUSE_LIFE_STAGE","PARAMETER_ID","PVALUE","PARAMETER_NAME","ANALYSIS_ID"
"MGI:1860383","Cd160","C57BL","Early adult","JAX_OFD_013_001",0.4158677,"Periphery average speed","7y40h14074cm7b8"
"MGI:88456","Col4a5","C57BL","Early adult","IMPC_CBC_015_001",1.216398e-10,"Total cholesterol","7y5622rs6556131"
"MGI:88357","Cdk4",NA,"E12.5","GMC_921_001_002",0.3268134,"Body weight","7y5a261240uwk8a"
"MGI:1859866","Cdc20","C57BL","E9.5","ESLIM_007_001_009",0.4343438,"Periphery average speed","7y660v6y3s5r463"
"MGI:2137624","Pom121","C57BL","E12.5","IMPC_CSD_007_001",0.229332,"Coat - color - abdomen","7y66q1aweggmb7a"
"MGI:1914759","Saysd1","C57BL","Early adult","IMPC_EYE_019_001",0.2906038,"Synechia","7y6d232u7de697p"
"MGI:87939","Adrb3","C57BL","Early adult","GMC_916_001_018",0.08328373,"Rearings box","7y71054zb0ds587"
"MGI:2685018","Ccdc110","C57BL","Early adult","JAXLA_DXA_004_001",0.4024416,"Bone Mineral Density (excluding skull)","7y7200nk1ww5m35"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","IMPC_DXA_008_001",0.08430727,"Lean/Body weight","7y8698c8ju8xf3a"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","IMPC_HEM_019_001",0.5354903,"Mean platelet volume","7y86ec29rd6mu24"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","CCP_XRY_031_001",0.8040965,"Digit integrity","7y928635f13x570"
"MGI:3643383","Calhm1","C57BL","Early adult","IMPC_CSD_078_001",0.3284878,"Vocalization","7y9986hb3n189s7"
"MGI:2384982","Cdca7l","C57BL","Late adult","IMPC_CAL_008_001",0.3376494,"Total food intake","7yb34e1z6q40x58"
"MGI:2141101","Depdc5","C57BL","E15.5","JAX_OFD_021_001",0.6147848,"Number of rears - total","7yezz6tm380b4ep"
"MGI:1920703","1700067K01Rik","C57BL","Early adult","IMPC_CBC_016_001",0.1154844,"HDL-cholesterol","7yf2ysz3128xjp1"
"MGI:1932386","Ift122","C57BL","Early adult","GMC_914_001_003",0.4893652,"Food consumption","7yg7y2656c88yyx"
"MGI:1915987","Angel1","C57BL","Early adult","IMPC_CSD_006_001",0.09938373,"Coat - color - head","7ygc686og1ne44a"
"MGI:2686600","Zfp174","C57BL","Late adult","IMPC_EYE_064_001",0.7981834,"Right outer nuclear layer","7ygh99yeb6647xl"
"MGI:1328358","Myom2","C57BL","Early adult","IMPC_CBC_003_001",0.8779609,"Chloride","7yh822n0a48a0rx"
"MGI:2684789","Lrsam1","C57BL","Early adult","IMPC_XRY_033_001",0.5111496,"Tibia length","7ylu9d83821oha6"
"MGI:2445160","Kcnh8","C57BL","Early adult","GMC_906_001_018",0.1021847,"Triglyceride","7ym88x5x13rn784"
"MGI:1918830","Mtrf1l","129SV","Early adult","JAXLA_CSD_012_001",0.4497534,"Coat - hair distribution - head","7yotj07bvi122fl"
"MGI:1914267","Fam210b","C57BL","Early adult","IMPC_ABR_008_001",0.7292031,"18kHz-evoked ABR Threshold","7yz446x4q9678h3"
"MGI:1920393","Wdr37","C57BL","Early adult","MGP_CSD_008_001",0.1881165,"Startle response","7yz8zynf849izw4"
"MGI:2445160","Kcnh8","C57BL","Middle aged adult","IMPC_OWT_002_001",0.8307645,"Spleen weight","7yzfc45c5926v33"
"MGI:1913883","Nsa2","C57BL","E15.5","IMPC_CBC_015_001",0.6096482,"Total cholesterol","7z0550r1iv4nfpw"
"MGI:1917180","Zfp715","C57BL","Early adult","IMPC_HEM_027_001",0.9610085,"Red blood cell distribution width","7z0qjfzgq5a99sq"
"MGI:1328358","Myom2","C57BL","Early adult","GMC_923_001_021",0.8759441,"Contact Righting Reflex","7z42it983l4258b"
"MGI:1916319","Tmem273","C57BL","Early adult","JAXLA_OFD_010_001",0.9821797,"Periphery distance travelled","7z4csyp569b82kh"
"MGI:108398","Mlx","C57BL","Early adult","IMPC_DXA_005_001",0.7524855,"Bone Mineral Content (excluding skull)","7z4o09006en5046"
"MGI:2444785","Dcaf5","C57BL","Early adult","JAXLA_OFD_007_001",0.05192822,"Whole arena resting time","7z5k165n447r264"
"MGI:2137624","Pom121","C57BL","Early adult","JAXLA_DXA_006_001",0.1522742,"Body length","7z5pr232610v061"
"MGI:2686600","Zfp174","C57BL","Early adult","JAXLA_CSD_005_001",0.8230675,"Coat - color - back","7z78s6b066p4r37"
"MGI:1918830","Mtrf1l","129SV","Early adult","IMPC_IMM_040_001",0.699574,"CD4 CD44+CD62L- NKT cells","7zct826yg3yo81n"
"MGI:97491","Pax7","C57BL","Early adult","ESLIM_020_001_003",0.8417969,"Tibia length","7zg564ue0h3c871"
"MGI:1917933","Utp20","C57BL","E18.5","JAX_OFD_010_001",0.7499427,"Periphery distance travelled","7zisn38djuk7y58"
"MGI:2384919","Rxylt1","C57BL","E9.5","JAX_URI_001_001",0.57965,"microAlbumin (calculated)","7zk11zp1va6k8e8"
"MGI:3643534","Angptl8","C57BL","Early adult","IMPC_EYE_057_001",0.6925443,"Min right eye lens density","7zk2s6zfqwgbd51"
"MGI:106642","Baat","C57BL","Early adult","IMPC_HEM_003_001",0.7956129,"Hemoglobin","7zmq4gqo85a9mgj"
"MGI:1915485","Mturn","C57BL",NA,"IMPC_XRY_055_001",0.5186632,"Shape of spine","7zp34tga8atm082"
"MGI:3652306","Krtap4-8","C57BL","Early adult","IMPC_IMM_011_001",0.2669139,"CD4 NKT cells","7zs9syakcofsi6k"
"MGI:1859866","Cdc20","C57BL","E12.5","IMPC_CBC_006_001",0.81894,"Total protein","7ztyc47f1d0916y"
"MGI:1351872","Slco2b1","C57BL","Early adult","JAX_OFD_014_001",NA,"Center distance travelled","7zub9712l160178"
"MGI:1918830","Mtrf1l","C57BL","Early adult","GMC_905_001_003",0.5124977,"Platelet","7zv9322ia8d8486"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","IMPC_CBC_014_001",0.8205916,"Alkaline phosphatase","7zvhcrm72q1964e"
"MGI:1861441","Rab27a","C57BL","Early adult","IMPC_DXA_003_001",0.9341111,"Lean mass","7zw74m1s75d0899"
"MGI:1859866","Cdc20","C57BL","E12.5","GMC_906_001_017",0.3089767,"Total cholesterol","7zwlvo4t94j4yai"
"MGI:108278","Ube2m","C57BL","Early adult","GMC_923_001_021",0.7108552,"Contact Righting Reflex","8001214ge4wz5e5"
"MGI:1917933","Utp20","C57BL","E9.5","GMC_906_001_001",0.2919624,"Glucose","8007391r80w1ko0"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_IMM_024_001",0.8643904,"DN CD25+ NKT cells","800x5qs81339v73"
"MGI:3588207","Dnaaf3","C57BL","E18.5","M-G-P_026_001_006",0.4886253,"Skin condition","8012k05yoe2415m"
"MGI:1926283","Pgap6","C57BL","E18.5","GMC_914_001_004",0.4248594,"Feces production","801p8c96n3b1aof"
"MGI:88357","Cdk4","C57BL","E15.5","IMPC_HWT_008_001",0.9131155,"Heart weight","801s4f31qlk61y8"
"MGI:1914267","Fam210b","C57BL","Early adult","GMC_916_001_013",0.5024132,"Entries on Board","8028x1bi8n7t8p4"
"MGI:1926283","Pgap6","C57BL","Early adult","GMC_920_001_039",0.9340635,"sMV-sleep","802kbi2770n59bp"
"MGI:5546359","Xndc1","C57BL","Early adult","IMPC_EYE_068_001",0.1113464,"Left total retinal thickness","8031j948302m3x8"
"MGI:2384974","Flvcr2","C57BL","Early adult","M-G-P_026_001_006",0.5114288,"Skin condition","803d294ny213hr0"
"MGI:2155959","Lnx2","C57BL","Early adult","GMC_905_001_010",0.0766553,"Mean platelets volume","803qgth6c2j75i3"
"MGI:1926020","Arl14ep","C57BL","Early adult","CCP_XRY_018_001",NA,"Shape of vertebrae","803u2j872005u46"
"MGI:2443219","Tmem260","C57BL","Early adult","IMPC_CBC_058_001",0.3296664,"Cholesterol ratio","803u7z8qrkebopu"
"MGI:2384919","Rxylt1","C57BL","Late adult","JAXLA_OFD_007_001",0.6770624,"Whole arena resting time","8046381kmn2ms51"
"MGI:1315201","Grcc10","C57BL","Early adult","JAXLA_CSD_012_001",0.1399119,"Coat - hair distribution - head","8049a737489mwbq"
"MGI:1933831","Btbd2","C57BL","Early adult","IMPC_HEM_027_001",0.8293291,"Red blood cell distribution width","804grw20wb9522v"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","IMPC_CSD_032_001",0.8183372,"Locomotor activity","804xm3j651m36z1"
"MGI:2685097","Lrrc37a","C57BL","Early adult","ESLIM_016_001_005",0.6019805,"Mean cell volume","805678483b062gu"
"MGI:2442221","Zfp652","C57BL","E18.5","JAX_OFD_009_001",0.275099,"Whole arena average speed","805a59lns4z06jv"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_CSD_006_001",0.6710669,"Coat - color - head","805d775wlz7d3zw"
"MGI:1913915","Msantd3","C57BL","Early adult","JAX_OFD_021_001",0.7297613,"Number of rears - total","8063dlnqqo20l7l"
"MGI:2442221","Zfp652","C57BL","Early adult","JAXLA_OFD_017_001",0.7552947,"Center average speed","8067v926oz9a747"
"MGI:2443219","Tmem260","C57BL","Early adult","JAXLA_CSD_077_001",0.992634,"Contact righting","806b603412guei9"
"MGI:2445160","Kcnh8","C57BL","Middle aged adult","IMPC_IPG_011_001",0.3661313,"Initial response to glucose challenge","806dy95hmn275l4"
"MGI:97491","Pax7","C57BL","E15.5","IMPC_HEM_031_001",0.05460368,"Lymphocyte differential count","8071cv2xd33u8h5"
"MGI:2180565","Pnma3","C57BL","Early adult","IMPC_CBC_016_001",0.5723825,"HDL-cholesterol","807d215281w6ti5"
"MGI:1921004","Thap1","C57BL","E9.5","JAXLA_CSD_005_001",0.704625,"Coat - color - back","807f57y070p1zr1"
"MGI:1915485","Mturn","C57BL","Early adult","JAXLA_IPG_010_001",0.5522324,"Fasted blood glucose concentration","807o8d2k722813f"
"MGI:88456","Col4a5","C57BL","Early adult","CCP_LFO_007_001",0.7488109,"Hqp","807rk8pk6jdf193"
"MGI:1926020","Arl14ep","C57BL","Early adult","GMC_906_001_005",0.9201816,"Potassium","8087z2bho61tba8"
"MGI:1860383","Cd160","C57BL","Early adult","IMPC_CBC_003_001",0.659177,"Chloride","808i0c4cf791l19"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","IMPC_XRY_017_001",0.8138681,"Number of caudal vertebrae","8093r07481t7395"
"MGI:105959","Cox8a","C57BL","Early adult","IMPC_ABR_012_001",0.4562818,"30kHz-evoked ABR Threshold","8095v332sv82sbo"
"MGI:2686600","Zfp174","C57BL","Late adult","IMPC_CSD_009_001",0.73091,"Coat - color pattern - head","8098a8ven3x7910"
"MGI:2384982","Cdca7l","C57BL","Middle aged adult","GMC_920_001_006",0.266564,"PIF-active","809f662gnr2rw83"
"MGI:1344370","Ndufc2","C57BL","Early adult","IMPC_CAL_008_001",0.9389671,"Total food intake","809h99683m80o85"
"MGI:2143698","Vezt","C57BL","Early adult","IMPC_IPG_012_001",0.09412353,"Area under glucose response curve","809hy60sy0n3809"
"MGI:1859866","Cdc20","C57BL","Early adult","GMC_920_001_035",0.8425909,"Ti/TT-sleep","809o6h4oro8485m"
"MGI:1859866","Cdc20","C57BL","Early adult","IMPC_CAL_008_001",0.2896016,"Total food intake","80a45176zs39der"
"MGI:1890257","Tas2r103","C57BL","Early adult","IMPC_INS_001_001",0.19886,"Insulin","80arp4s98un1877"
"MGI:2384982","Cdca7l","C57BL","Early adult","CCP_LFO_007_001",0.06888238,"Hqp","80b20dwz0n0733q"
"MGI:1913883","Nsa2","C57BL","E9.5","CCP_XRY_031_001",0.7216903,"Digit integrity","80bhw826896z860"
"MGI:97489","Pax5","C57BL","Early adult","IMPC_CBC_003_001",0.8766298,"Chloride","80bzd13s2ml7orm"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_ABR_010_001",0.7010094,"24kHz-evoked ABR Threshold","80c77db6hxp3may"
"MGI:97491","Pax7","C57BL","Early adult","GMC_914_001_002",0.3399425,"Body temperature rectal","80cc6i35z90w299"
"MGI:1933831","Btbd2","C57BL","Early adult","IMPC_ECH_010_001",0.6950696,"LVAWs","80ccz9s72925n1l"
"MGI:1344370","Ndufc2",NA,"Early adult","IMPC_CBC_023_001",0.6790006,"Alpha-amylase","80cj64tw0a2z60g"
"MGI:2139134","Cercam","C57BL","Early adult","CCP_XRY_033_001",0.5212775,"Tibia length","80d142rnir68145"
"MGI:3643383","Calhm1","C57BL","Early adult","GMC_920_001_035",0.155911,"Ti/TT-sleep","80ed5f6mt48qo13"
"MGI:1890257","Tas2r103","C57BL","Early adult","ESLIM_015_001_002",0.320807,"Urea","80ejp67s872k95r"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","JAX_OFD_013_001",0.7100772,"Periphery average speed","80f3ctx8315o120"
"MGI:1926283","Pgap6","C57BL","E18.5","ESLIM_016_001_005",0.5197645,"Mean cell volume","80hz101x3l000bs"
"MGI:104294","Tyro3","C57BL","Early adult","MGP_PBI_008_001",0.4460463,"CD4+ CD25+ alpha beta regulatory T cell percentage","80i8qo5r57495ei"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","IMPC_CBC_006_001",0.4641167,"Total protein","80iayg3558v9kw2"
"MGI:88357","Cdk4","C57BL","Early adult","IMPC_CBC_018_001",0.8757199,"Glucose","80ibn96t9akmf58"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","GMC_920_001_006",0.5316225,"PIF-active","80ij1anerxti010"
"MGI:1918830","Mtrf1l","C57BL","Early adult","IMPC_HEM_005_001",0.1796757,"Mean cell volume","80j6nh0qgh07ufc"
"MGI:1347061","Abcg2","C57BL","Early adult","IMPC_DXA_008_001",0.3509516,"Lean/Body weight","80k4nm62q6057m9"
"MGI:105959","Cox8a","C57BL","Early adult","JAX_OFD_013_001",0.4795754,"Periphery average speed","80lf12nds5etm4x"
"MGI:1932386","Ift122","C57BL","Early adult","IMPC_CBC_014_001",0.3226643,"Alkaline phosphatase","80lr74x912z34p9"
"MGI:1859866","Cdc20","C57BL","Early adult","IMPC_EYE_068_001",0.2403869,"Left total retinal thickness","80ltlh939030yk8"
"MGI:108398","Mlx","C57BL","Late adult","IMPC_HEM_019_001",0.4124948,"Mean platelet volume","80m3gr33f902a11"
"MGI:2685298","Trim56","C57BL","Early adult","IMPC_CBC_014_001",0.1054314,"Alkaline phosphatase","80n27147q8bs542"
"MGI:3646964","Fscb","C57BL","Early adult","IMPC_HEM_035_001",0.5406151,"Eosinophil differential count","80n3xvr69ub60o2"
"MGI:3652306","Krtap4-8","C57BL","Early adult","IMPC_CAL_008_001",0.2123418,"Total food intake","80ni7s6zfe7974w"
"MGI:2143698","Vezt","C57BL","Early adult","IMPC_GRS_010_001",0.4023708,"Forelimb grip strength normalised against body weight","80nk0zo287x821e"
"MGI:1916340","Ascc1","C57BL","Early adult","IMPC_CBC_001_001",0.09035834,"Sodium","80o0dv9f1m28159"
"MGI:96538","Il10ra","C57BL","Early adult","GMC_920_001_005",0.1938771,"MV-active","80q4cd8d7790q4p"
"MGI:3588207","Dnaaf3","C57BL","E18.5","IMPC_GEP_029_002",0.942282,"Cyanosis","80q51v28y71m233"
"MGI:1923061","Saxo1","C57BL","Early adult","GMC_914_001_003",0.2101392,"Food consumption","80rs25cs3z66841"
"MGI:98930","Vil1","C57BL","Early adult","IMPC_EYE_027_001",0.4782251,"Persistence of hyaloid vascular system","80s128698013yam"
"MGI:96538","Il10ra","C57BL","Early adult","IMPC_HEM_002_001",0.5788273,"Red blood cell count","80sw87q74v4u41i"
"MGI:96669","Kcnc3","C57BL","Early adult","GMC_906_001_018",0.6590131,"Triglyceride","80td58i4849mr6h"
"MGI:3646964","Fscb","C57BL","Early adult","JAX_URI_001_001",0.8072399,"microAlbumin (calculated)","80tj789utc5nqk1"
"MGI:2443497","Zmat4","C57BL","Early adult","GMC_920_001_014",0.6400266,"sMV-active","80uu012143b5s4n"
"MGI:1916340","Ascc1","C57BL","Early adult","CCP_LDT_001_001",0.2590432,"Side changes","80ux032778u237l"
"MGI:1315201","Grcc10","C57BL","E18.5","JAXLA_CSD_005_001",0.7189728,"Coat - color - back","80w5626mg877wex"
"MGI:105959","Cox8a","C57BL","Early adult","IMPC_DXA_007_001",0.5496345,"BMC/Body weight","80wo6j0913g2y6i"
"MGI:2443086","Mindy2","C57BL","Middle aged adult","IMPC_HEM_002_001",0.09082391,"Red blood cell count","80x42487zbc890u"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_HEM_001_001",0.07368527,"White blood cell count","80xzbm98331z065"
"MGI:1913915","Msantd3","C57BL","Early adult","JAXLA_CSD_039_001",0.8607344,"Limb grasp","80z347z694r3j59"
"MGI:2684789","Lrsam1","C57BL","Early adult","JAXLA_CSD_004_001",0.6050225,"Tail - morphology","80z406760dvt3xs"
"MGI:1917933","Utp20","C57BL","Early adult","IMPC_HWT_008_001",0.8248924,"Heart weight","80zj6ez92dx258i"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_OFD_009_001",0.5201955,"Whole arena average speed","8104i41hj927f52"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_CBC_011_001",0.8040581,"Iron","810da6g30z76fda"
"MGI:1347061","Abcg2","C57BL","Early adult","ESLIM_007_001_009",NA,"Periphery average speed","810l2sbd803pif5"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","IMPC_GRS_010_001",0.6433546,"Forelimb grip strength normalised against body weight","810u9x6ty4uv18m"
"MGI:2684866","Slfn14","C57BL","Early adult","GMC_921_001_002",0.7008993,"Body weight","8110ms37900o291"
"MGI:2442221","Zfp652","C57BL","E18.5","IMPC_DXA_002_001",0.6501117,"Fat mass","8111200lt3o325c"
"MGI:1918830","Mtrf1l","C57BL","Early adult","IMPC_IPG_011_001",0.1175784,"Initial response to glucose challenge","81120yvrc3wft83"
"MGI:108398","Mlx","C57BL","Middle aged adult","IMPC_XRY_019_001",NA,"Fusion of vertebrae","81142wv98ok8u58"
"MGI:1201378","Anxa3","C57BL","Early adult","JAXLA_DXA_007_001",0.1600862,"BMC/Body weight","811619t50vhxd5z"
"MGI:892866","Dgcr2","C57BL","Early adult","GMC_916_001_022",0.4754818,"Body weight","811j18ht29ms6bt"
"MGI:2141101","Depdc5","C57BL","Early adult","JAX_OFD_007_001",0.6959563,"Whole arena resting time","811u63ia90061p8"
"MGI:104992","Crybb1","C57BL","Early adult","IMPC_CBC_003_001",0.7427118,"Chloride","811w23lh0c3plml"
"MGI:2384919","Rxylt1","C57BL","Late adult","JAXLA_OFD_021_001",0.2663164,"Number of rears - total","811xqj1ac37zue2"
"MGI:1861441","Rab27a","C57BL","Early adult","IMPC_ACS_006_001",0.380729,"Response amplitude - S","812084606a7q927"
"MGI:1926020","Arl14ep","C57BL","Early adult","IMPC_GRS_011_001",0.8515245,"Forelimb and hindlimb grip strength normalised against body weight","81239w3fbe6wlf0"
"MGI:1315201","Grcc10","C57BL","Early adult","JAX_OFD_013_001",0.1637265,"Periphery average speed","8125837lgl5t159"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","CCP_LDT_001_001",0.3108147,"Side changes","8125ffhf3xz9mt9"
"MGI:2684917","Vcpkmt","C57BL","Early adult","ESLIM_007_001_005",0.2283013,"Whole arena average speed","81290cc4k80c90l"
"MGI:1344370","Ndufc2","C57BL","Early adult","IMPC_HEM_004_001",0.9065859,"Hematocrit","812by0jjz4h12pm"
"MGI:2684866","Slfn14","C57BL","Early adult","IMPC_ACS_035_001",0.2081159,"% Pre-pulse inhibition - PPI3","81302cw1gz005q5"
"MGI:2180565","Pnma3","C57BL","Late adult","GMC_920_001_013",0.4555487,"sTV-active","813497f4khbuz9b"
"MGI:2684917","Vcpkmt","C57BL","Early adult","IMPC_CSD_078_001",0.7852828,"Vocalization","813634mv7051z53"
"MGI:1918830","Mtrf1l","C57BL","Early adult","IMPC_CSD_006_001",0.1418168,"Coat - color - head","8138yxcfd359960"
"MGI:87939","Adrb3","C57BL","Early adult","IMPC_ABR_010_001",0.694834,"24kHz-evoked ABR Threshold","813l00i9z198i13"
"MGI:2442221","Zfp652","C57BL","E18.5","IMPC_OFD_010_001",0.3145073,"Periphery distance travelled","813ugxc52r1s714"
"MGI:3588207","Dnaaf3","C57BL","Early adult","IMPC_IPG_011_001",0.4620049,"Initial response to glucose challenge","814033ee0sopqpc"
"MGI:1918830","Mtrf1l","C57BL","Early adult","JAX_OFD_017_001",0.3986825,"Center average speed","8143rso9251rskk"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","GMC_920_001_006",0.6802777,"PIF-active","814551w0yt7c949"
"MGI:2141101","Depdc5","C57BL","Early adult","CCP_XRY_060_001",0.4786191,"Transitional vertebrae","8146c86r79dsljy"
"MGI:2384982","Cdca7l","C57BL","Early adult","CCP_XRY_031_001",0.7951968,"Digit integrity","81489pi75yh1707"
"MGI:2442221","Zfp652","C57BL","E18.5","GMC_920_001_001",0.76697,"Body weight","814o0gy385y0yvt"
"MGI:2384982","Cdca7l","C57BL","Early adult","MGP_PBI_008_001",0.5177627,"CD4+ CD25+ alpha beta regulatory T cell percentage","814t5526ejtjewj"
"MGI:1919891","Mob2","C57BL","Early adult","JAXLA_CSD_039_001",0.9297638,"Limb grasp","8152g18ag3g3i6r"
"MGI:1916315","Chac1","C57BL","Early adult","IMPC_HEM_004_001",0.9838683,"Hematocrit","8153ig3p98tyv86"
"MGI:2684866","Slfn14","C57BL","Early adult","GMC_906_001_001",0.2869734,"Glucose","815572y294w1g23"
"MGI:108398","Mlx","C57BL","Early adult","IMPC_CSD_006_001",0.5721332,"Coat - color - head","8159v1l47d358y9"
"MGI:2443086","Mindy2","C57BL","Late adult","GMC_920_001_004",0.5933956,"TV-active","815dvt188s90te8"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_EYE_069_001",0.9284604,"Left inner nuclear layer","81622wow2794md7"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","CCP_XRY_060_001",0.1055972,"Transitional vertebrae","8162963p118fpe8"
"MGI:87939","Adrb3","C57BL","Early adult","IMPC_CBC_012_001",0.2849397,"Aspartate aminotransferase","8162vopt363ub41"
"MGI:2442221","Zfp652","C57BL","E18.5","GMC_920_001_014",0.503977,"sMV-active","81655fk2sx0pb47"
"MGI:87939","Adrb3","C57BL","Early adult","IMPC_IMM_021_001",0.135202,"CD4 CD25- NKT cells","8165w212huk8hu3"
"MGI:2685097","Lrrc37a","C57BL","Early adult","IMPC_CBC_020_001",0.7999924,"Fructosamine","8166m0tg333v767"
"MGI:1918359","Flacc1","C57BL","Early adult","IMPC_CBC_007_001",0.06576077,"Albumin","816fm460d6fgb2o"
"MGI:2384919","Rxylt1","C57BL","Late adult","JAX_OFD_014_001",0.6364549,"Center distance travelled","817249nu0116232"
"MGI:3646964","Fscb","C57BL","Early adult","JAXLA_CSD_004_001",0.8715022,"Tail - morphology","817c0ujt73ie912"
"MGI:2384982","Cdca7l","C57BL","Middle aged adult","JAX_SLW_014_001",0.2865651,"Breath rate during sleep standard deviation","817dj74rwu604iq"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_OFD_009_001",0.9086625,"Whole arena average speed","8180h08r882hqpr"
"MGI:1913883","Nsa2","C57BL","Early adult","IMPC_EYE_017_001",0.2485741,"Lens Opacity","8186deq794962js"
"MGI:3643383","Calhm1","C57BL","Early adult","IMPC_OFD_013_001",0.0648436,"Periphery average speed","81919a0024urys1"
"MGI:105959","Cox8a","C57BL","Early adult","JAX_LDT_001_001",0.7532949,"Side changes","819243by5z29i02"
"MGI:98930","Vil1","C57BL","Early adult","GMC_920_001_013",0.342618,"sTV-active","8195hq906xy1o3l"
"MGI:1859866","Cdc20","C57BL","E9.5","IMPC_EYE_062_001",0.2525491,"Right total retinal thickness","8196y420f998z64"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","CCP_XRY_062_001",0.2032812,"Polysyndactylism","819ch37408b4720"
"MGI:1917933","Utp20","C57BL","E9.5","IMPC_XRY_019_001",0.2783039,"Fusion of vertebrae","819k205ou6u167i"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_GEO_064_001",0.7646226,"Edema","819ojf70p4400q5"
"MGI:2384919","Rxylt1","C57BL","E9.5","IMPC_GEO_069_001",0.5021998,"Delayed embryonic development","819ujx2kau75109"
"MGI:1347061","Abcg2","C57BL","Early adult","IMPC_CSD_078_001",0.9209823,"Vocalization","81a8qo5e63001y8"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","JAXLA_OFD_007_001",0.07906225,"Whole arena resting time","81aa5sez09c8i48"
"MGI:108398","Mlx","C57BL","Early adult","JAX_OFD_021_001",0.4435457,"Number of rears - total","81apvd85t18zm3k"
"MGI:98930","Vil1","C57BL","Early adult","IMPC_ABR_006_001",0.5332748,"12kHz-evoked ABR Threshold","81c8j718gj9ka7i"
"MGI:1344341","Car14","C57BL","Early adult","ESLIM_015_001_013",0.6996925,"Aspartate aminotransferase","81fk5j85464p7m3"
"MGI:1859866","Cdc20","C57BL","E12.5","IMPC_EYE_026_001",0.1498304,"Retinal Blood Vessels Pattern","81g6g0y5317291e"
"MGI:1932386","Ift122","C57BL","Early adult","IMPC_CSD_008_001",0.4538886,"Coat - color pattern - back","81gq7j8v00wprzm"
"MGI:97491","Pax7","C57BL","E15.5","CCP_LFO_007_001",0.2793238,"Hqp","81gy01aj90d243r"
"MGI:97489","Pax5","C57BL","Early adult","GMC_920_001_006",0.8556508,"PIF-active","81h7924bfp3o27m"
"MGI:1926020","Arl14ep","C57BL","Early adult","IMPC_CSD_030_001",0.9666809,"Tremor","81ih0p17350074k"
"MGI:1859866","Cdc20","C57BL","E9.5","IMPC_CSD_007_001",0.8628867,"Coat - color - abdomen","81iz9h0b00322f1"
"MGI:2384982","Cdca7l","C57BL","Late adult","IMPC_XRY_012_001",0.6415614,"Pelvis","81k94t2904puh7y"
"MGI:2654703","Otud7b","C57BL","Early adult","JAX_OFD_013_001",0.6475003,"Periphery average speed","81kq57z945h28z2"
"MGI:1921004","Thap1","C57BL","Early adult","GMC_906_001_017",0.6902637,"Total cholesterol","81lp6n47912qnq8"
"MGI:1921004","Thap1","C57BL","E9.5","IMPC_EYE_069_001",0.6460099,"Left inner nuclear layer","81lxtm541d8j8eu"
"MGI:108278","Ube2m","C57BL","Early adult","IMPC_ACS_035_001",0.4014968,"% Pre-pulse inhibition - PPI3","81nqyyd7z8bg1bt"
"MGI:1917933","Utp20","C57BL","E9.5","IMPC_XRY_055_001",0.5494421,"Shape of spine","81o1mz0p9f167j7"
"MGI:87939","Adrb3","C57BL","Early adult","CCP_LFO_001_001",0.9527742,"Weight","81p5vi21mdd144o"
"MGI:108398","Mlx","C57BL","Early adult","IMPC_XRY_019_001",0.4029202,"Fusion of vertebrae","81pt733t402mr68"
"MGI:2384919","Rxylt1","C57BL","E12.5","IMPC_EYE_063_001",0.2477948,"Right inner nuclear layer","81pz3i4s90jg174"
"MGI:2139134","Cercam","C57BL","Early adult","IMPC_OFD_007_001",0.1800417,"Whole arena resting time","81r30jy0844u5k3"
"MGI:96669","Kcnc3","C57BL","Early adult","JAX_OFD_010_001",3.330669e-16,"Periphery distance travelled","81t0g657a3gjo87"
"MGI:1917933","Utp20","C57BL","E9.5","IMPC_EYE_003_001",0.7505243,"Eye Hemorrhage or Blood Presence","81t6n958kbv614r"
"MGI:1859866","Cdc20","C57BL","Early adult","GMC_906_001_018",0.4791421,"Triglyceride","81u2ralamocd3ok"
"MGI:1344370","Ndufc2","C57BL","Early adult","IMPC_XRY_033_001",0.2851879,"Tibia length","81u9zyd4ig7502w"
