parameter_name,parameter_description,parameter_id
Total number of lick/bite events,NA,IMPC_FOR_002_001
Total duration of drag/limp behaviour,NA,IMPC_FOR_003_001
Total number of drag/limp events,NA,IMPC_FOR_004_001
Total duration of flinch behaviour,NA,IMPC_FOR_005_001
Total number of flinch events,NA,IMPC_FOR_006_001
Anaesthetic,NA,IMPC_FOR_007_001
Formalin Concentration,NA,IMPC_FOR_008_001
Amount of formalin injected,NA,IMPC_FOR_009_001
Syringe Gauge,NA,IMPC_FOR_010_001
Site of formalin injection,NA,IMPC_FOR_011_001
Arena Manufacturer,NA,IMPC_FOR_012_001
Size of testing arena,NA,IMPC_FOR_013_001
Recording Software,NA,IMPC_FOR_014_001
Data scoring method,NA,IMPC_FOR_015_001
Annotation Software,NA,IMPC_FOR_016_001
Duration of observation period,NA,IMPC_FOR_017_001
Camera Position,NA,IMPC_FOR_018_001
Disinfectant,NA,IMPC_FOR_019_001
Duration of lick/bite behaviour,NA,IMPC_FOR_020_001
Duration of drag/limp behaviour,NA,IMPC_FOR_021_001
Duration of flinch behaviour,NA,IMPC_FOR_022_001
Duration of licking/biting behavior (10-60 minutes),NA,IMPC_FOR_023_001
Time per bin/increment,NA,IMPC_FOR_024_001
Time bins excluded,NA,IMPC_FOR_025_001
Experimenter ID,NA,IMPC_FOR_026_001
Placenta Development,placenta_development,IMPC_GPM_001_001
Placenta Morphology,placenta_morphology,IMPC_GPM_002_001
Placenta Vasculature,placenta_vasculature,IMPC_GPM_003_001
Placenta Size,placenta_size,IMPC_GPM_004_001
Umbilical cord morphology,umbilical_cord_morphology,IMPC_GPM_005_001
Comment on image,comment_on_image,IMPC_GPM_006_001
Images,images,IMPC_GPM_007_001
Experimenter ID,experimenter_id,IMPC_GPM_008_001
Equipment ID,equipment_id,IMPC_GPM_009_001
Equipment Manufacturer,equipment_manufacturer,IMPC_GPM_010_001
Equipment Model,equipment_model,IMPC_GPM_011_001
Fixative,fixative,IMPC_GPM_012_001
Time of Dissection,time_of_dissection,IMPC_GPM_013_001
Somite Stage,somite_stage,IMPC_GPM_014_001
Time of dark cycle start,time_of_dark_cycle_start,IMPC_GPM_015_001
Time of dark cycle end,time_of_dark_cycle_end,IMPC_GPM_016_001
Date equipment last calibrated,date_equipment_last_calibrated,IMPC_GPM_017_001
Placenta color,NA,IMPC_GPM_018_001
Retina,retina,IMPC_EYE_020_001
Retinal Pigmentation,retinal_pigmentation,IMPC_EYE_021_001
Retinal Structure,retinal_structure,IMPC_EYE_022_001
Camera to Source,NA,IMPC_EML_010_001
Equipment Version,NA,IMPC_EML_006_001
Image Pixel Size,NA,IMPC_EML_007_001
Date of Scan,NA,IMPC_EML_014_001
Equipment Manufacturer,NA,IMPC_EML_004_001
Equipment ID,NA,IMPC_EML_003_001
E9.5 MicroCT Preparation protocol,NA,IMPC_EML_008_001
Screenshots,NA,IMPC_EML_017_001
Object to Source,NA,IMPC_EML_009_001
Source Current,NA,IMPC_EML_016_001
Date of Sacrifice,NA,IMPC_EML_012_001
Date Preparation Finished,NA,IMPC_EML_013_001
Embryo reconstruction,NA,IMPC_EML_001_001
Experimenter ID,NA,IMPC_EML_002_001
Source Voltage,NA,IMPC_EML_015_001
Date equipment last calibrated,NA,IMPC_EML_011_001
Equipment Model,NA,IMPC_EML_005_001
Conditioning Baseline Freeze Count,conditioning_baseline_freeze_count,IMPC_FEA_001_001
Conditioning Baseline Freezing Time,conditioning_baseline_freezing_time,IMPC_FEA_002_001
Conditioning Baseline % Freezing Time,conditioning_baseline_freezing_time,IMPC_FEA_003_001
Conditioning Baseline Average Motion Index,conditioning_baseline_average_motion_index,IMPC_FEA_004_001
Conditioning Baseline Minimum Motion Index,conditioning_baseline_minimum_motion_index,IMPC_FEA_005_001
Conditioning Baseline Maximum Motion Index,conditioning_baseline_maximum_motion_index,IMPC_FEA_006_001
Context Freeze Count,context_freeze_count,IMPC_FEA_007_001
Context Freezing Time,context_freezing_time,IMPC_FEA_008_001
Context % Freezing Time,context_freezing_time,IMPC_FEA_009_001
Context Average Motion Index,context_average_motion_index,IMPC_FEA_010_001
Context Minimum Motion Index,context_minimum_motion_index,IMPC_FEA_011_001
Context Maximum Motion Index,context_maximum_motion_index,IMPC_FEA_012_001
Cue Baseline Freeze Count,cue_baseline_freeze_count,IMPC_FEA_013_001
Cue Baseline Freezing Time,cue_baseline_freezing_time,IMPC_FEA_014_001
Cue Baseline % Freezing Time,cue_baseline_freezing_time,IMPC_FEA_015_001
Cue Baseline Average Motion Index,cue_baseline_average_motion_index,IMPC_FEA_016_001
Cue Baseline Minimum Motion Index,cue_baseline_minimum_motion_index,IMPC_FEA_017_001
Cue Baseline Maximum Motion Index,cue_baseline_maximum_motion_index,IMPC_FEA_018_001
Cue Tone Freeze Count,cue_tone_freeze_count,IMPC_FEA_019_001
Cue Tone Freezing Time,cue_tone_freezing_time,IMPC_FEA_020_001
Cue Tone % Freezing Time,cue_tone_freezing_time,IMPC_FEA_021_001
Cue Tone Average Motion Index,cue_tone_average_motion_index,IMPC_FEA_022_001
Cue Tone Minimum Motion Index,cue_tone_minimum_motion_index,IMPC_FEA_023_001
Cue Tone Maximum Motion Index,cue_tone_maximum_motion_index,IMPC_FEA_024_001
Conditioning: Date and time,conditioning_date_and_time,IMPC_FEA_025_001
Conditioning: Room acclimation time,conditioning_room_acclimation_time,IMPC_FEA_026_001
Conditioning: White house light level in arena,conditioning_white_house_light_level_in_arena,IMPC_FEA_027_001
Conditioning: Olfactory cue,conditioning_olfactory_cue,IMPC_FEA_028_001
Conditioning: Mouse arena shape,conditioning_mouse_arena_shape,IMPC_FEA_029_001
Conditioning: Mouse arena dimension,conditioning_mouse_arena_dimension,IMPC_FEA_030_001
Conditioning: Mouse arena colour,conditioning_mouse_arena_colour,IMPC_FEA_031_001
Conditioning: Mouse arena floor,conditioning_mouse_arena_floor,IMPC_FEA_032_001
Conditioning: Length of time baseline,conditioning_length_of_time_baseline,IMPC_FEA_033_001
Conditioning: Tone stimulus intensity ( dB; conditioned stimulus),conditioning_tone_stimulus_intensity_db_conditioned_stimulus,IMPC_FEA_034_001
Conditioning: Tone stimulus frequency (Hz; conditioned stimulus),conditioning_tone_stimulus_frequency_hz_conditioned_stimulus,IMPC_FEA_035_001
Conditioning: Length of time tone stimulus,conditioning_length_of_time_tone_stimulus,IMPC_FEA_036_001
Conditioning: Shock stimulus intensity (unconditioned stimulus),conditioning_shock_stimulus_intensity_unconditioned_stimulus,IMPC_FEA_037_001
Conditioning: Length of time shock stimulus,conditioning_length_of_time_shock_stimulus,IMPC_FEA_038_001
Conditioning: Length of time no stimulus,conditioning_length_of_time_no_stimulus,IMPC_FEA_039_001
Conditioning: Total time,conditioning_total_time,IMPC_FEA_040_001
Context: Date and time,context_date_and_time,IMPC_FEA_041_001
Context: Room acclimation time,context_room_acclimation_time,IMPC_FEA_042_001
Context: White house light level in arena,context_white_house_light_level_in_arena,IMPC_FEA_043_001
Context: Olfactory cue,context_olfactory_cue,IMPC_FEA_044_001
Context: Mouse arena shape,context_mouse_arena_shape,IMPC_FEA_045_001
Context: Mouse arena dimension,context_mouse_arena_dimension,IMPC_FEA_046_001
Context: Mouse arena colour,context_mouse_arena_colour,IMPC_FEA_047_001
Context: Mouse arena floor,context_mouse_arena_floor,IMPC_FEA_048_001
Context: Total time,context_total_time,IMPC_FEA_049_001
Cue: Date and time,cue_date_and_time,IMPC_FEA_050_001
Cue: White house light level in arena,cue_white_house_light_level_in_arena,IMPC_FEA_051_001
Cue: Olfactory cue,cue_olfactory_cue,IMPC_FEA_052_001
Cue: Mouse arena shape,cue_mouse_arena_shape,IMPC_FEA_053_001
Cue: Mouse arena dimension,cue_mouse_arena_dimension,IMPC_FEA_054_001
Cue: Mouse arena colour,cue_mouse_arena_colour,IMPC_FEA_055_001
Cue: Mouse arena floor,cue_mouse_arena_floor,IMPC_FEA_056_001
Cue: Length of time baseline,cue_length_of_time_baseline,IMPC_FEA_057_001
Cue: Tone stimulus intensity  (conditioned stimulus),cue_tone_stimulus_intensity_conditioned_stimulus,IMPC_FEA_058_001
Cue: Tone stimulus frequency (Hz; conditioned stimulus),cue_tone_stimulus_frequency_hz_conditioned_stimulus,IMPC_FEA_059_001
Cue: tone response measurement time,NA,IMPC_FEA_060_001
Cue: Length of time no stimulus,cue_length_of_time_no_stimulus,IMPC_FEA_061_001
Cue: Total time,cue_total_time,IMPC_FEA_062_001
Mouse arenaID,mouse_arenaid,IMPC_FEA_063_001
Equipment ID,equipment_id,IMPC_FEA_064_001
Equipment Manufacturer,equipment_manufacturer,IMPC_FEA_065_001
Equipment Model,equipment_model,IMPC_FEA_066_001
Tracking Method,tracking_method,IMPC_FEA_067_001
Software,software,IMPC_FEA_068_001
Sound generator manufacturer,sound_generator_manufacturer,IMPC_FEA_069_001
Sound generator model,sound_generator_model,IMPC_FEA_070_001
Sound-proof box dimension,sound_proof_box_dimension,IMPC_FEA_071_001
Experimenter ID,experimenter_id,IMPC_FEA_072_001
Experimenter ID  day 2,experimenter_id_day_2,IMPC_FEA_073_001
Experimenter ID day 2 cue,experimenter_id_day_2_cue,IMPC_FEA_074_001
Date equipment last calibrated (shock),date_equipment_last_calibrated_shock,IMPC_FEA_075_001
Date equipment last calibrated (tone),date_equipment_last_calibrated_tone,IMPC_FEA_076_001
Freeze definition,freeze_definition,IMPC_FEA_077_001
Conditioning: Near infra red light  arena,conditioning_near_infra_red_light_arena,IMPC_FEA_078_001
Context: Near infra red light  arena,context_near_infra_red_light_arena,IMPC_FEA_079_001
Cue: Near infra red light  arena,cue_near_infra_red_light_arena,IMPC_FEA_080_001
Conditioning: Start time of baseline,conditioning_start_time_of_baseline,IMPC_FEA_081_001
Conditioning: Start time of each tone stimulus,conditioning_start_time_of_each_tone_stimulus,IMPC_FEA_082_001
Conditioning: Start time of each shock stimulus,conditioning_start_time_of_each_shock_stimulus,IMPC_FEA_083_001
Conditioning: Start time of no stimulus,conditioning_start_time_of_no_stimulus,IMPC_FEA_084_001
Cue: Start time of baseline,cue_start_time_of_baseline,IMPC_FEA_085_001
Cue: Start time of each tone stimulus,cue_start_time_of_each_tone_stimulus,IMPC_FEA_086_001
Cue: Start time of no stimulus,cue_start_time_of_no_stimulus,IMPC_FEA_087_001
Cue: arena rotation,cue_arena_rotation,IMPC_FEA_088_001
Conditioning Tone Freeze Count,conditioning_tone_freeze_count,IMPC_FEA_089_001
Conditioning Tone Freezing Time,conditioning_tone_freezing_time,IMPC_FEA_090_001
Conditioning Tone % Freezing Time,conditioning_tone_freezing_time,IMPC_FEA_091_001
Conditioning Tone Average Motion Index,conditioning_tone_average_motion_index,IMPC_FEA_092_001
Conditioning Tone Minimum Motion Index,conditioning_tone_minimum_motion_index,IMPC_FEA_093_001
Conditioning Tone Maximum Motion Index,conditioning_tone_maximum_motion_index,IMPC_FEA_094_001
Conditioning Shock Average Motion Index,conditioning_shock_average_motion_index,IMPC_FEA_095_001
Conditioning Shock Minimum Motion Index,conditioning_shock_minimum_motion_index,IMPC_FEA_096_001
Conditioning Shock Maximum Motion Index,conditioning_shock_maximum_motion_index,IMPC_FEA_097_001
Conditioning Post-shock Freeze Count,conditioning_post_shock_freeze_count,IMPC_FEA_098_001
Conditioning Post-shock Freezing Time,conditioning_post_shock_freezing_time,IMPC_FEA_099_001
Conditioning Post-shock % Freezing Time,conditioning_post_shock_freezing_time,IMPC_FEA_100_001
Conditioning Post-shock Average Motion Index,conditioning_post_shock_average_motion_index,IMPC_FEA_101_001
Conditioning Post-shock Minimum Motion Index,conditioning_post_shock_minimum_motion_index,IMPC_FEA_102_001
Conditioning Post-shock Maximum Motion Index,conditioning_post_shock_maximum_motion_index,IMPC_FEA_103_001
Freeze definition (minimum motion index),freeze_definition_minimum_motion_index,IMPC_FEA_104_001
Difference in Context and Conditioning Baseline % Freezing,NA,IMPC_FEA_105_001
Difference in Cue Tone and Cue Baseline % Freezing,NA,IMPC_FEA_106_001
Difference in Conditioning Post-shock and Conditioning Baseline % Freezing,NA,IMPC_FEA_107_001
Cue: Length of time tone stimulus,NA,IMPC_FEA_108_001
Placenta Development,placenta_development,IMPC_GPO_001_001
Placenta Morphology,placenta_morphology,IMPC_GPO_002_001
Placenta Vasculature,placenta_vasculature,IMPC_GPO_003_001
Placenta Size,placenta_size,IMPC_GPO_004_001
Umbilical cord morphology,umbilical_cord_morphology,IMPC_GPO_005_001
Comment on image,comment_on_image,IMPC_GPO_006_001
Images,images,IMPC_GPO_007_001
Experimenter ID,experimenter_id,IMPC_GPO_008_001
Equipment ID,equipment_id,IMPC_GPO_009_001
Equipment Manufacturer,equipment_manufacturer,IMPC_GPO_010_001
Equipment Model,equipment_model,IMPC_GPO_011_001
Fixative,fixative,IMPC_GPO_012_001
Time of Dissection,time_of_dissection,IMPC_GPO_013_001
Somite Stage,somite_stage,IMPC_GPO_014_001
Time of dark cycle start,time_of_dark_cycle_start,IMPC_GPO_015_001
Time of dark cycle end,time_of_dark_cycle_end,IMPC_GPO_016_001
Date equipment last calibrated,date_equipment_last_calibrated,IMPC_GPO_017_001
Pale placenta,NA,IMPC_GPO_018_001
Room temperature max,NA,IMPC_CAL_023_001
Room temperature min,NA,IMPC_CAL_024_001
Chamber temperature min,NA,IMPC_CAL_025_001
Chamber temperature max,NA,IMPC_CAL_026_001
Time of dark cycle start,The starting time of the dark cycle. E.g. 7 p.m.,IMPC_CAL_010_002
Time of dark cycle end,The ending time of the dark cycle. E.g. 7 a.m.,IMPC_CAL_020_002
Outer dimension of cage,(L cm) x  (W cm) x  (H cm),IMPC_CAL_027_001
Inner dimension of cage,(L cm) x  (W cm) x  (H cm),IMPC_CAL_028_001
Height from platform to lid assembly,NA,IMPC_CAL_029_001
Available space for mouse,(L cm) x  (W cm) x  (H cm),IMPC_CAL_030_001
Infrared beam setting on X axis,Orizontal activity: locomotion N beams with L cm spacing H cm above platform,IMPC_CAL_031_001
Infrared beam setting on Y axis,Orizontal activity: locomotion N beams with L cm spacing H cm above platform,IMPC_CAL_032_001
Infrared beam setting on Z axis,Vertical activity: rearing/jumping N beams with L cm spacing H cm above platform.,IMPC_CAL_033_001
Beam strip placement on exterior of chamber,NA,IMPC_CAL_034_001
Lightbeam wavelength,NA,IMPC_CAL_035_001
Scanning rate,NA,IMPC_CAL_036_001
Refractory period,NA,IMPC_CAL_037_001
Presence of bedding into the cage,NA,IMPC_CAL_038_001
Igloo in cage,NA,IMPC_CAL_039_001
Calibration method,NA,IMPC_CAL_040_001
Acclimation period,NA,IMPC_CAL_041_001
Adrenal gland - MA term,NA,IMPC_HIS_350_001
Adrenal gland - MPATH pathological entity term,NA,IMPC_HIS_103_002
Adrenal gland - MPATH pathological process term,NA,IMPC_HIS_105_002
Bone - MA term,NA,IMPC_HIS_351_001
Bone - MPATH pathological entity term,NA,IMPC_HIS_342_002
Bone - MPATH pathological process term,NA,IMPC_HIS_344_002
Bone marrow - MA term,NA,IMPC_HIS_352_001
Bone marrow - MPATH pathological entity term,NA,IMPC_HIS_230_002
Bone marrow - MPATH pathological process term,NA,IMPC_HIS_232_002
Brain - MA term,NA,IMPC_HIS_353_001
Brain - MPATH pathological entity term,NA,IMPC_HIS_001_002
Brain - MPATH pathological process term,NA,IMPC_HIS_003_002
Brown adipose tissue - MA term,NA,IMPC_HIS_354_001
Brown adipose tissue - MPATH pathological entity term,NA,IMPC_HIS_237_002
Brown adipose tissue - MPATH pathological process term,NA,IMPC_HIS_239_002
Ear - MA term,NA,IMPC_HIS_355_001
Ear - MPATH pathological entity term,NA,IMPC_HIS_272_002
Ear - MPATH pathological process term,NA,IMPC_HIS_274_002
Epididymis - MA term,NA,IMPC_HIS_356_001
Epididymis - MPATH pathological entity term,NA,IMPC_HIS_145_002
Epididymis - MPATH pathological process term,NA,IMPC_HIS_147_002
Esophagus - MA term,NA,IMPC_HIS_357_001
Esophagus - MPATH pathological entity term,NA,IMPC_HIS_043_002
Esophagus - MPATH pathological process term,NA,IMPC_HIS_045_002
Eye - Descriptor PATO,NA,IMPC_HIS_011_001
Eye - MA term,NA,IMPC_HIS_358_001
Eye - MPATH pathological entity term,NA,IMPC_HIS_007_002
Eye - MPATH pathological process term,NA,IMPC_HIS_009_002
Femur - MA term,NA,IMPC_HIS_359_001
Femur - MPATH pathological entity term,NA,IMPC_HIS_223_002
Femur - MPATH pathological process term,NA,IMPC_HIS_225_002
Gall bladder - MA term,NA,IMPC_HIS_360_001
Gall bladder - MPATH pathological entity term,NA,IMPC_HIS_061_002
Gall bladder - MPATH pathological process term,NA,IMPC_HIS_063_002
Heart - MA term,NA,IMPC_HIS_361_001
Heart - MPATH pathological entity term,NA,IMPC_HIS_031_002
Heart - MPATH pathological process term,NA,IMPC_HIS_033_002
Kidney - MA term,NA,IMPC_HIS_362_001
Kidney - MPATH pathological entity term,NA,IMPC_HIS_097_002
Kidney - MPATH pathological process term,NA,IMPC_HIS_099_002
Knee joint - MA term,NA,IMPC_HIS_363_001
Knee joint - MPATH pathological entity term,NA,IMPC_HIS_251_002
Knee joint - MPATH pathological process term,NA,IMPC_HIS_253_002
Large intestine - MA term,NA,IMPC_HIS_364_001
Large intestine - MPATH pathological entity term,NA,IMPC_HIS_079_002
Large intestine - MPATH pathological process term,NA,IMPC_HIS_081_002
Liver - MA term,NA,IMPC_HIS_365_001
Liver - MPATH pathological entity term,NA,IMPC_HIS_055_002
Liver - MPATH pathological process term,NA,IMPC_HIS_057_002
Lung - MA term,NA,IMPC_HIS_366_001
Lung - MPATH pathological entity term,NA,IMPC_HIS_049_002
Lung - MPATH pathological process term,NA,IMPC_HIS_051_002
Lymph node - MA term,NA,IMPC_HIS_367_001
Lymph node - MPATH pathological entity term,NA,IMPC_HIS_115_002
Lymph node - MPATH pathological process term,NA,IMPC_HIS_117_002
Mammary gland - MA term,NA,IMPC_HIS_368_001
Mammary gland - MPATH pathological entity term,NA,IMPC_HIS_109_002
Mammary gland - MPATH pathological process term,NA,IMPC_HIS_111_002
Nasal cavity - MA term,NA,IMPC_HIS_369_001
Nasal cavity - MPATH pathological entity term,NA,IMPC_HIS_265_002
Nasal cavity - MPATH pathological process term,NA,IMPC_HIS_267_002
Ovary - MA term,NA,IMPC_HIS_370_001
Ovary - MPATH pathological entity term,NA,IMPC_HIS_163_002
Ovary - MPATH pathological process term,NA,IMPC_HIS_165_002
Pancreas - MA term,NA,IMPC_HIS_371_001
Pancreas - MPATH pathological entity term,NA,IMPC_HIS_085_002
Pancreas - MPATH pathological process term,NA,IMPC_HIS_087_002
Pituitary gland - Descriptor PATO,NA,IMPC_HIS_373_001
Pituitary gland - MA term,NA,IMPC_HIS_375_001
Pituitary gland - MPATH pathological entity term,NA,IMPC_HIS_376_001
Pituitary gland - MPATH pathological process term,NA,IMPC_HIS_377_001
Prostate gland - Descriptor PATO,NA,IMPC_HIS_155_001
Prostate gland - MA term,NA,IMPC_HIS_380_001
Prostate gland - MPATH pathological entity term,NA,IMPC_HIS_151_002
Prostate gland - MPATH pathological process term,NA,IMPC_HIS_153_002
Salivary gland - MA term,NA,IMPC_HIS_381_001
Salivary gland - MPATH pathological entity term,NA,IMPC_HIS_209_002
Salivary gland - MPATH pathological process term,NA,IMPC_HIS_211_002
Sciatic nerve - MA term,NA,IMPC_HIS_382_001
Sciatic nerve - MPATH pathological entity term,NA,IMPC_HIS_293_002
Sciatic nerve - MPATH pathological process term,NA,IMPC_HIS_295_002
Seminal vesicle - MA term,NA,IMPC_HIS_383_001
Seminal vesicle - MPATH pathological entity term,NA,IMPC_HIS_157_002
Seminal vesicle - MPATH pathological process term,NA,IMPC_HIS_159_002
Skeletal muscle - MA term,NA,IMPC_HIS_384_001
Skeletal muscle - MPATH pathological entity term,NA,IMPC_HIS_127_002
Skeletal muscle - MPATH pathological process term,NA,IMPC_HIS_129_002
Skin - MA term,NA,IMPC_HIS_385_001
Skin - MPATH pathological entity term,NA,IMPC_HIS_121_002
Skin - MPATH pathological process term,NA,IMPC_HIS_123_002
Small intestine - MA term,NA,IMPC_HIS_386_001
Small intestine - MPATH pathological entity term,NA,IMPC_HIS_073_002
Small intestine - MPATH pathological process term,NA,IMPC_HIS_075_002
Spinal cord - MA term,NA,IMPC_HIS_387_001
Spinal cord - MPATH pathological entity term,NA,IMPC_HIS_013_002
Spinal cord - MPATH pathological process term,NA,IMPC_HIS_015_002
Spleen - MA term,NA,IMPC_HIS_388_001
Spleen - MPATH pathological entity term,NA,IMPC_HIS_091_002
Spleen - MPATH pathological process term,NA,IMPC_HIS_093_002
Sternum - MA term,NA,IMPC_HIS_389_001
Sternum - MPATH pathological entity term,NA,IMPC_HIS_216_002
Sternum - MPATH pathological process term,NA,IMPC_HIS_218_002
Stomach - MA term,NA,IMPC_HIS_390_001
Stomach - MPATH pathological entity term,NA,IMPC_HIS_067_002
Stomach - MPATH pathological process term,NA,IMPC_HIS_069_002
Testis - Descriptor PATO,NA,IMPC_HIS_143_001
Testis - MA term,NA,IMPC_HIS_391_001
Testis - MPATH pathological entity term,NA,IMPC_HIS_139_002
Testis - MPATH pathological process term,NA,IMPC_HIS_141_002
Thymus - MA term,NA,IMPC_HIS_392_001
Thymus - MPATH pathological entity term,NA,IMPC_HIS_019_002
Thymus - MPATH pathological process term,NA,IMPC_HIS_021_002
Thyroid - MA term,NA,IMPC_HIS_393_001
Thyroid - MPATH pathological entity term,NA,IMPC_HIS_025_002
Thyroid - MPATH pathological process term,NA,IMPC_HIS_027_002
Tibia - MA term,NA,IMPC_HIS_394_001
Tibia - MPATH pathological entity term,NA,IMPC_HIS_244_002
Tibia - MPATH pathological process term,NA,IMPC_HIS_246_002
Tongue - MA term,NA,IMPC_HIS_395_001
Tongue - MPATH pathological entity term,NA,IMPC_HIS_286_002
Tongue - MPATH pathological process term,NA,IMPC_HIS_288_002
Tooth - MA term,NA,IMPC_HIS_396_001
Tooth - MPATH pathological entity term,NA,IMPC_HIS_279_002
Tooth - MPATH pathological process term,NA,IMPC_HIS_281_002
Trachea - MA term,NA,IMPC_HIS_397_001
Trachea - MPATH pathological entity term,NA,IMPC_HIS_037_002
Trachea - MPATH pathological process term,NA,IMPC_HIS_039_002
Trigeminal V ganglion - Descriptor PATO,NA,IMPC_HIS_262_001
Trigeminal V ganglion - MA term,NA,IMPC_HIS_398_001
Trigeminal V ganglion - MPATH pathological entity term,NA,IMPC_HIS_258_002
Trigeminal V ganglion - MPATH pathological process term,NA,IMPC_HIS_260_002
Urinary bladder - MA term,NA,IMPC_HIS_399_001
Urinary bladder - MPATH pathological entity term,NA,IMPC_HIS_133_002
Urinary bladder - MPATH pathological process term,NA,IMPC_HIS_135_002
Uterus - MA term,NA,IMPC_HIS_400_001
Uterus - MPATH pathological entity term,NA,IMPC_HIS_169_002
Uterus - MPATH pathological process term,NA,IMPC_HIS_171_002
White adipose tissue - Descriptor PATO,NA,IMPC_HIS_402_001
White adipose tissue - MA term,NA,IMPC_HIS_404_001
White adipose tissue - MPATH pathological entity term,NA,IMPC_HIS_405_001
White adipose tissue - MPATH pathological process term,NA,IMPC_HIS_406_001
Bone - Severity score,NA,IMPC_HIS_345_002
Bone - Significance score,NA,IMPC_HIS_348_002
Eye - Description,NA,IMPC_HIS_012_001
Eye - Free text diagnostic term,NA,IMPC_HIS_008_001
Eye - Severity score,NA,IMPC_HIS_010_001
Eye - Significance score,NA,IMPC_HIS_180_002
Pituitary gland - Description,NA,IMPC_HIS_372_001
Pituitary gland - Free text diagnostic term,NA,IMPC_HIS_374_001
Pituitary gland - Severity score,NA,IMPC_HIS_378_001
Pituitary gland - Significance score,NA,IMPC_HIS_379_001
Prostate gland - Description,NA,IMPC_HIS_156_001
Prostate gland - Free text diagnostic term,NA,IMPC_HIS_152_001
Prostate gland - Severity score,NA,IMPC_HIS_154_001
Prostate gland - Significance score,NA,IMPC_HIS_204_002
Testis - Description,NA,IMPC_HIS_144_001
Testis - Free text diagnostic term,NA,IMPC_HIS_140_001
Testis - Severity score,NA,IMPC_HIS_142_001
Testis - Significance score,NA,IMPC_HIS_202_002
Tibia - Severity score,NA,IMPC_HIS_247_002
Trigeminal V ganglion - Description,NA,IMPC_HIS_263_001
Trigeminal V ganglion - Free text diagnostic term,NA,IMPC_HIS_259_001
Trigeminal V ganglion - Severity score,NA,IMPC_HIS_261_001
Trigeminal V ganglion - Significance score,NA,IMPC_HIS_264_001
White adipose tissue - Description,NA,IMPC_HIS_401_001
White adipose tissue - Free text diagnostic term,NA,IMPC_HIS_403_001
White adipose tissue - Severity score,NA,IMPC_HIS_407_001
White adipose tissue - Significance score,NA,IMPC_HIS_408_001
Subcutaneous adipose tissue - Description,NA,IMPC_HIS_409_001
Subcutaneous adipose tissue - Descriptor PATO,NA,IMPC_HIS_410_001
Subcutaneous adipose tissue - Free text diagnostic term,NA,IMPC_HIS_411_001
Subcutaneous adipose tissue - MA term,NA,IMPC_HIS_412_001
Subcutaneous adipose tissue - MPATH pathological entity term,NA,IMPC_HIS_413_001
Subcutaneous adipose tissue - MPATH pathological process term,NA,IMPC_HIS_414_001
Subcutaneous adipose tissue - Severity score,NA,IMPC_HIS_415_001
Subcutaneous adipose tissue - Significance score,NA,IMPC_HIS_416_001
Optic II nerve - Description,optic_II_nerve_description,IMPC_HIS_417_001
Optic II nerve - Descriptor PATO,NA,IMPC_HIS_418_001
Optic II nerve - Free text diagnostic term,NA,IMPC_HIS_419_001
Optic II nerve - MA term,NA,IMPC_HIS_420_001
Optic II nerve - MPATH pathological entity term,NA,IMPC_HIS_421_001
Optic II nerve - MPATH pathological process term,NA,IMPC_HIS_422_001
Optic II nerve - Severity score,NA,IMPC_HIS_423_001
Optic II nerve - Significance score,NA,IMPC_HIS_424_001
Date of sacrifice,date_of_sacrifice,IMPC_HIS_425_001
Latency to leave start arm,latency_to_leave_start_arm,IMPC_YMZ_001_001
Total arm entries,total_arm_entries,IMPC_YMZ_002_001
Number of triplets,number_of_triplets,IMPC_YMZ_003_001
Number of spontaneous alternations,spontaneous_alternations,IMPC_YMZ_004_001
Alternation ratio per number of triplets,alternation_ratio,IMPC_YMZ_005_001
Number of alternate arm entries,alternate_arm_entries,IMPC_YMZ_006_001
Alternate arm entry ratio per number of triplets,alternate_arm_entry_ratio,IMPC_YMZ_007_001
Number of same arm entries by number of doublets,same_arm_entries,IMPC_YMZ_008_001
Same arm entry ratio per total arm entries,same_arm_entry_ratio,IMPC_YMZ_009_001
Feacal boli (count),feacal_boli_count,IMPC_YMZ_010_001
Acclimatisation time (minimum),acclimatisation_time_minimum,IMPC_YMZ_011_001
Arm dimensions,arm_dimensions,IMPC_YMZ_012_001
Light level,light_level,IMPC_YMZ_013_001
Placement in start arm,placement_in_start_arm,IMPC_YMZ_015_001
Cleaning agent/disinfectant,cleaning_agent_disinfectant,IMPC_YMZ_016_001
Tracking method,tracking_method,IMPC_YMZ_017_001
Scoring method,scoring_method,IMPC_YMZ_018_001
Duration at centre prior to arm re-entry,duration_at_centre_prior_to_arm_re_entry,IMPC_YMZ_019_001
Experimenter ID,experimenter_id,IMPC_YMZ_020_001
Maze ID,maze_id,IMPC_YMZ_021_001
Maze manufacturer,maze_manufacturer,IMPC_YMZ_022_001
Maze model,maze_model,IMPC_YMZ_023_001
Tracking equipment ID,tracking_equipment_id,IMPC_YMZ_024_001
Tracking equipment manufacturer,tracking_equipment_manufacturer,IMPC_YMZ_025_001
Tracking equipment model,tracking_equipment_model,IMPC_YMZ_026_001
Date tracking equipment last calibrated,date_tracking_equipment_last_calibrated,IMPC_YMZ_027_001
Software,software,IMPC_YMZ_028_001
Alternating start arm,NA,IMPC_YMZ_029_001
Side changes,side_changes,IMPC_LDT_001_001
Light side time spent,light_side_time_spent,IMPC_LDT_002_001
